时间(h),节点,温度(°C),湿度(%RH),光照(lux),烟雾(ADC),电池(mV)
22.10,1,21.9,57.5,3,300,3622
22.12,1,22.1,57.3,0,324,3621
22.13,1,22.3,56.7,8,328,3621
22.15,1,22.2,57.9,0,326,3621
22.17,1,22.1,58.1,0,323,3621
22.18,1,22.3,56.5,0,324,3621
22.20,1,21.9,56.5,0,303,3620
22.22,1,21.9,55.0,13,341,3620
22.23,1,22.0,59.3,0,339,3620
22.25,1,21.9,56.6,0,342,3620
22.27,1,22.0,58.1,15,324,3620
22.28,1,21.9,56.3,0,291,3619
22.30,1,22.0,58.2,0,330,3619
22.32,1,21.9,56.7,14,313,3619
22.33,1,22.0,56.5,15,332,3619
22.35,1,22.2,55.3,12,318,3618
22.37,1,21.9,56.5,0,321,3618
22.38,1,21.9,59.6,3,345,3618
22.40,1,21.9,56.3,0,329,3618
22.42,1,21.9,57.0,197,309,3618
22.43,1,21.9,55.8,3,307,3617
22.45,1,21.8,56.8,1,307,3617
22.47,1,22.0,57.2,7,316,3617
22.48,1,22.3,58.2,8,329,3617
22.50,1,21.9,58.3,10,343,3617
22.52,1,21.9,56.4,20,322,3616
22.53,1,21.8,57.1,0,314,3616
22.55,1,21.8,56.5,0,312,3616
22.57,1,21.9,57.3,0,301,3616
22.58,1,21.8,56.5,0,350,3616
22.60,1,21.8,58.3,3,302,3615
22.62,1,22.3,57.2,0,334,3615
22.63,1,21.8,57.3,5,312,3615
22.65,1,21.4,58.4,0,344,3615
22.67,1,21.9,57.1,205,313,3615
22.68,1,21.7,55.8,0,304,3614
22.70,1,21.9,59.8,0,296,3614
22.72,1,21.8,57.9,0,311,3614
22.73,1,21.8,58.1,5,337,3614
22.75,1,21.7,57.3,0,331,3613
22.77,1,21.8,58.9,0,333,3613
22.78,1,21.9,57.9,5,306,3613
22.80,1,21.3,58.0,7,317,3613
22.82,1,21.7,58.7,17,333,3613
22.83,1,21.7,57.9,0,297,3612
22.85,1,21.8,56.6,0,326,3612
22.87,1,21.9,58.2,0,328,3612
22.88,1,21.4,58.1,0,326,3612
22.90,1,21.8,58.1,0,337,3612
22.92,1,21.7,56.3,9,309,3611
22.93,1,21.5,57.4,9,340,3611
22.95,1,21.5,58.3,11,300,3611
22.97,1,21.7,57.4,0,309,3611
22.98,1,21.6,58.0,5,322,3611
23.00,1,21.5,55.9,0,329,3610
23.02,1,21.6,55.8,6,303,3610
23.03,1,21.6,58.7,0,309,3610
23.05,1,21.4,58.1,0,282,3610
23.07,1,21.5,57.8,0,298,3610
23.08,1,21.6,59.0,0,316,3609
23.10,1,21.4,58.3,0,329,3609
23.12,1,21.6,58.3,0,296,3609
23.13,1,21.5,57.7,5,326,3609
23.15,1,21.2,58.5,0,301,3608
23.17,1,21.7,59.2,0,333,3608
23.18,1,21.7,58.2,0,323,3608
23.20,1,21.6,57.3,0,311,3608
23.22,1,21.2,59.0,0,326,3608
23.23,1,21.4,60.4,0,346,3607
23.25,1,21.5,57.2,8,304,3607
23.27,1,21.6,57.2,9,358,3607
23.28,1,21.4,57.9,0,320,3607
23.30,1,21.5,56.5,0,336,3607
23.32,1,21.5,58.0,0,332,3606
23.33,1,21.5,55.4,1,288,3606
23.35,1,21.5,57.4,0,323,3606
23.37,1,21.4,57.4,6,332,3606
23.38,1,21.3,56.7,10,303,3606
23.40,1,21.5,60.9,14,329,3605
23.42,1,21.3,58.0,0,306,3605
23.43,1,21.6,58.9,0,324,3605
23.45,1,21.4,56.4,5,325,3605
23.47,1,21.5,60.8,1,304,3605
23.48,1,21.6,59.3,6,298,3604
23.50,1,21.2,58.0,0,317,3604
23.52,1,21.5,59.4,0,330,3604
23.53,1,21.5,58.7,8,317,3604
23.55,1,21.5,58.8,0,314,3603
23.57,1,21.4,58.7,0,322,3603
23.58,1,21.6,57.9,3,318,3603
23.60,1,21.3,57.0,0,336,3603
23.62,1,21.4,58.1,2,316,3603
23.63,1,21.0,58.8,0,329,3602
23.65,1,21.4,59.0,0,313,3602
23.67,1,21.7,60.8,0,324,3602
23.68,1,21.2,57.5,14,297,3602
23.70,1,21.2,58.9,4,296,3602
23.72,1,21.4,58.7,0,318,3601
23.73,1,21.3,57.2,7,305,3601
23.75,1,21.5,56.2,0,296,3601
23.77,1,21.1,58.7,0,311,3601
23.78,1,21.4,59.3,8,330,3601
23.80,1,21.3,62.5,17,330,3600
23.82,1,21.2,61.1,0,351,3600
23.83,1,21.3,56.8,0,314,3600
23.85,1,21.2,58.7,0,299,3600
